Penn World Tables 6.1

"COL0","YEAR"
"COL1","Taiwan/CGPD RELATIVE TO THE UNITED STATES (unit US=100)"
"COL2","Taiwan/CONSUMPTION SHARE OF CGPD (unit %)"
"COL3","Taiwan/CONSUMPTION SHARE OF RGDPL (unit %)"
"COL4","Taiwan/CURRENT SAVINGS (unit %)"
"COL5","Taiwan/EXCHANGE RATE (unit US=1)"
"COL6","Taiwan/GOVERNMENT SHARE OF CGDP (unit %)"
"COL7","Taiwan/GOVERNMENT SHARE OF RGDPL (unit %)"
"COL8","Taiwan/INVESTMENT SHARE OF CGDP (unit %)"
"COL9","Taiwan/INVESTMENT SHARE OF RGDPL (unit %)"
"COL10","Taiwan/OPENNESS IN CONSTANT PRICES (unit %)"
"COL11","Taiwan/OPENNESS IN CURRENT PRICES (unit %)"
"COL12","Taiwan/POPULATION (unit 000S)"
"COL13","Taiwan/PRICE LEVEL OF CONSUMPTION (unit PPP/XRATE)"
"COL14","Taiwan/PRICE LEVEL OF GOVERNMENT (unit PPP/XRATE)"
"COL15","Taiwan/PRICE LEVEL OF GROSS DOMESTIC PRODUCT (unit US=100)"
"COL16","Taiwan/PRICE LEVEL OF INVESTMENT (unit PPP/XRATE)"
"COL17","Taiwan/RATIO OF GNP TO GDP (CURRENT PRICES) (unit %)"
"COL18","Taiwan/REAL GROSS DOMESTIC PRODUCT PER CAPITA (CURRENT PRICES) (unit $ CURRENT)"

<<<<<<< HEAD
"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18"
1986,36.4140120300,50.7123915420,54.6763561190,34.1190370770,37.8499000000,15.1685713810,15.8437994890,14.2168024400,14.1236924850,75.1643224900,96.0195530730,19357.0000000000,55.2399286500,57.0219836760,58.5625052710,72.0580377010,,6674.9893917000
1987,39.0051930560,51.2700359790,54.2090223890,34.1154268520,31.8700000000,14.6145371690,15.3131278620,16.5391086280,16.3388390640,82.1979773700,97.1322849210,19564.0000000000,63.8310208440,67.7603346270,68.9162503800,85.7015004950,,7547.1953424000
1988,39.2126059610,55.1600516980,56.9779971590,29.7115944510,28.6100000000,15.1283538510,15.4716172950,19.1822831250,18.4179865200,84.8644885190,98.1787137170,19788.0000000000,70.3723304810,76.3995483760,76.6316810980,94.8139739630,,8099.7878640000
1989,40.6251675050,57.7675260540,59.2418801220,26.5053282180,26.4099000000,15.7271457270,15.7108118740,19.1243152380,18.2726194450,84.3756666040,91.8808857220,20006.0000000000,77.0220839620,82.9870908310,83.2456920280,102.2575884200,,8932.9157827000
1990,42.0471978630,59.1441866730,60.6534624260,23.5883153070,26.8899000000,17.2674980200,16.8124449830,18.7091331500,18.2403089470,82.7529211360,88.5223048330,20230.0000000000,75.8327049500,81.4439658880,81.7953982290,100.9692957400,,9672.9361620000
1991,45.6122609460,59.4725421300,60.5430861820,24.2064134470,26.8199000000,16.3210444230,16.7751098810,19.6392554650,18.8754779800,87.5454970060,90.0975711020,20455.0000000000,75.5816318980,87.3185170800,82.0173034830,97.1005843840,,10705.6865000000
1992,47.0865368780,61.1416161440,61.4712342230,22.8863662140,25.1599000000,15.9720176420,16.0920464420,21.1987607390,20.9152429750,89.4289994070,85.3178323650,20654.6679000000,81.5136355530,93.1939386850,88.8930019760,106.9361204800,,11544.5466680000
1993,49.2622737990,61.4556823390,61.9806235190,23.5770418540,26.3899000000,14.9672758070,15.1526846790,21.8892781400,21.6057001910,89.8456522390,86.4135021100,20848.2500000000,78.8575868220,89.4045644610,85.7134696240,102.4379736900,,12564.1157420000
1994,50.2026236440,62.6332837550,62.6435227110,23.4710587500,26.4599000000,13.8956574950,13.8317802380,21.7687993880,21.4659244930,87.3507785030,85.5772206750,21034.8984000000,80.2775006190,90.4127077170,86.1835993050,100.4770891500,,13471.4303110000
1995,51.4113475030,62.8549610900,62.3280379410,23.3408875650,26.4899000000,13.8041513450,13.4365413940,21.6312423160,21.1902913050,91.3538807920,94.3154295480,21214.9863000000,81.3299470560,89.7942673970,87.0899573450,102.1013243600,,14341.1536920000
1996,53.3984758740,62.4863883610,62.4863883610,24.0147026570,27.4599000000,13.4989089820,13.4989089820,20.6292859900,20.6292859900,91.4062500000,91.4062500000,21387.8144000000,79.3567618690,89.0035901430,83.8831496660,94.2430460760,,15589.1032280000
1997,54.6391864420,62.7527347270,63.0245749530,23.9844467710,28.7000000000,13.2628185020,13.3849072620,21.8261733900,22.1213499240,95.7407722930,94.2446043170,21577.3828000000,75.5421209870,86.8241023230,80.0314955930,88.8113866020,,16827.6881330000
1998,55.0502650880,63.9309331800,64.1215187200,22.9671206080,33.4599000000,13.1019462120,13.3290201850,21.9592818620,22.7832240280,95.3752765240,94.6248600220,21777.0957000000,64.4865728520,75.5661487940,69.0724070270,78.5488554920,,17742.8046140000
1999,,,,,,,,,,,,,,,,,,
2000,,,,,,,,,,,,,,,,,,

